player,elo_hard,elo_clay,elo_grass,elo
Basilashvili N.,1498.3699797195723,1501.4163747267653,1543.6322394323245,1514.4728646262208
Gil F.,1536.4013876302702,1554.0772008072258,1430.5959622325881,1507.0248502233615
Hajji A.,1471.31839875271,1500.0,1500.0,1490.4394662509033
Fish M.,1704.9080281585627,1548.385712014196,1721.0834032950124,1658.125714489257
Bozic I.,1500.0,1482.5909984224616,1500.0,1494.196999474154
Mota B.,1500.0,1495.0168861354382,1500.0,1498.338962045146
Thompson J.,1720.0224939629238,1436.7086229124893,1608.2759977109804,1588.335704862131
Melzer J.,1597.231621749217,1583.894010265978,1595.9271688085917,1592.350933607929
Dailey Z.,1486.2517910989725,1500.0,1500.0,1495.4172636996575
Rodesch C.,1500.0,1500.0,1485.9254361434096,1495.3084787144699
Harris B.,1450.1432716092481,1488.0657476680235,1518.2828692793955,1485.4972961855558
Tirante T.A.,1496.4056040408143,1529.1203035235637,1500.0,1508.5086358547926
Echagaray B.,1491.3868229048448,1472.7634507215805,1500.0,1488.0500912088085
Ali Mutawa J.M.,1469.0177537895354,1500.0,1500.0,1489.6725845965118
Neff A.,1489.3853261940571,1500.0,1500.0,1496.461775398019
Gojowczyk P.,1531.7707001875403,1455.3050110361069,1510.6113523543765,1499.2290211926745
Hernandez A.,1502.2449496634297,1444.3037484705337,1500.0,1482.182899377988
Tipsarevic J.,1555.2335467050218,1539.1325063581348,1529.9426438720918,1541.4362323117496
Daniel T.,1454.0880825114605,1469.630682947818,1384.224600460073,1435.981121973117
Cook L.,1482.4336446851173,1500.0,1500.0,1494.1445482283725
Silva J.,1465.6168820791834,1436.1497815895698,1500.0,1467.2555545562511
Holmgren A.,1493.7174344505963,1500.0,1524.3208529136116,1506.012762454736
Hanescu V. ,1484.0,1500.0,1500.0,1494.6666666666667
Delfino M.,1500.0,1483.604538431813,1500.0,1494.5348461439378
Vicente F.,1414.1059199934357,1393.4545002690825,1460.1511684153543,1422.5705295592907
Berdych T. ,1500.0,1500.0,1500.0,1500.0
Salzenstein J.,1426.086523341299,1482.23793209028,1481.1754896712257,1463.1666483676015
Bagnis F.,1473.0001770791355,1506.8134249402883,1431.5270116774805,1470.4468712323014
Jonsson F.,1482.5933667658749,1486.7539688823208,1483.4913998557406,1484.279578501312
Kyrgios N.,1774.1129386550647,1661.0448686539617,1711.1011528307768,1715.4196533799343
Collarini A.,1500.0,1468.2075300126182,1500.0,1489.402510004206
Etlis G.,1529.5638984654795,1493.0891463343182,1500.0,1507.5510149332658
Petzschner P. ,1484.0,1500.0,1500.0,1494.6666666666667
Al-Alawi S.K.,1483.263693206478,1500.0,1500.0,1494.421231068826
Rafter P.,1698.9628740342507,1484.8005579772896,1588.2589746221452,1590.6741355445618
Laaksonen H.,1447.3059841900185,1531.1832629867065,1468.643742878933,1482.3776633518862
Stakhovsky S.,1520.8437939272626,1445.5420104120071,1510.2611519242585,1492.2156520878427
Navone M.,1475.3716749542602,1624.5231471995207,1464.074992025057,1521.3232713929463
Molteni A.,1500.0,1481.601659913729,1500.0,1493.867219971243
Silva D.,1500.0,1483.8525031067575,1500.0,1494.6175010355857
Andreozzi G.,1504.963929760595,1442.4637014098973,1472.4240578468448,1473.2838963391125
Guzman J.,1500.0,1500.0,1482.76607496502,1494.2553583216734
Davydenko N.,1640.2801381135878,1528.4566642810855,1451.2352663332083,1539.9906895759605
Gomez E.,1450.661044184118,1478.7292868957531,1500.0,1476.4634436932904
Galan D.,1500.0,1527.4165030511779,1500.0,1509.1388343503925
Golding O.,1500.0,1500.0,1452.050056015328,1484.0166853384426
Paire B.,1475.7458800857055,1410.2979028656287,1528.2956920998229,1471.446491683719
Martin D.,1477.538848538176,1500.0,1500.0,1492.512949512725
Bu Y.,1583.4748643234263,1434.4978190429701,1469.4655894917491,1495.812757619382
Lisnard J.,1455.0163942630984,1499.5974365297639,1500.0,1484.871276930954
Canas G.,1613.1791298920298,1617.2013940339298,1588.2719517162097,1606.2174918807232
Auger-Aliassime F.,1729.2729001132382,1645.8165772572959,1596.3426687607605,1657.1440487104317
De Chaunac S.,1531.829619107421,1500.0,1500.0,1510.609873035807
Nieminen J. ,1500.0,1500.0,1500.0,1500.0
Ferrero J.,1484.1504922446422,1487.287639201296,1500.0,1490.4793771486463
Gea A.,1481.718950975753,1500.0,1500.0,1493.9063169919175
Sultan-Khalfan A.,1486.2260770955102,1500.0,1500.0,1495.40869236517
Wang Y. Jr,1498.2103179668134,1500.0,1500.0,1499.4034393222712
Lopez San Martin A.,1500.0,1490.3013001550867,1500.0,1496.7671000516955
Guez D.,1416.754818227197,1468.4579452441646,1500.0,1461.7375878237872
Nanda G.,1510.2107813438176,1500.0,1500.0,1503.4035937812725
Benneteau J. ,1484.0,1500.0,1500.0,1494.6666666666667
Kim K,1500.0,1500.0,1487.8332439851567,1495.9444146617188
Wolf J.J.,1502.2264394509868,1500.5918036745677,1510.0672449827427,1504.2951627027658
Mu T.,1487.9657690169986,1500.0,1500.0,1495.9885896723329
Peric T.,1500.0,1487.3012091848736,1500.0,1495.7670697282913
Sherwood D.,1500.0,1500.0,1500.5881691584416,1500.1960563861473
Milligan L.,1500.0,1500.0,1484.7701398146428,1494.9233799382143
Ruusuvuori E.,1668.360352409378,1469.1145630046333,1520.8436745597614,1552.7728633245908
Spracklin T.,1482.5937411460277,1500.0,1500.0,1494.1979137153423
Benneteau A.,1484.9889028100865,1500.0,1500.0,1494.9963009366954
Ward A.,1500.0,1492.7144495906007,1453.3829728058838,1482.0324741321613
Fruttero J.P.,1483.8000933923274,1500.0,1500.0,1494.600031130776
Chela J.I.,1489.1012034386108,1584.7867368035068,1433.974027067049,1502.6206557697224
Klaasen R.,1484.3542300946494,1500.0,1517.5915033589047,1500.6485778178512
Delic A.,1520.4351297379526,1449.1685262341482,1467.5247258975937,1479.0427939565645
Hassan B.,1463.5880586979513,1474.7576112670492,1500.0,1479.4485566550002
Gasquet R.,1515.6260637187402,1509.7097125581645,1585.2979814648406,1536.8779192472484
Awadhy O.,1476.6206714673733,1500.0,1500.0,1492.2068904891246
Onclin G.,1492.0124266552834,1500.0,1500.0,1497.337475551761
Dedura D.,1500.0,1490.4304876101246,1500.0,1496.8101625367083
Udomchoke D.,1337.7641763188988,1456.8284663705087,1437.3440267085957,1410.645556466001
Jenkins S.,1432.2790970873502,1485.8055541648005,1500.886737426433,1472.9904628928614
Kuhn N.,1495.4765272327822,1486.6669105186772,1477.7648932788745,1486.6361103434447
Marray J.,1487.9318161945705,1500.0,1469.0190123157008,1485.6502761700904
Kokkinakis T.,1664.6768741328112,1518.7274819080415,1521.7662388454185,1568.3901982954237
Vinck C.,1449.5439330142349,1427.9624968882256,1484.0,1453.8354766341536
Damm M.,1519.6757175007144,1464.008843873568,1458.4166914094833,1480.7004175945885
Rascon T.,1487.5793191486882,1500.0,1500.0,1495.8597730495628
Wang Y.Jr.,1483.263693206478,1500.0,1500.0,1494.421231068826
Reister J.,1437.244168335678,1442.8352568266146,1474.824172443097,1451.6345325351301
Isner J.,1595.7910395656268,1666.8092851761028,1674.550784904274,1645.717036548668
Mantilla F.,1495.65992747189,1597.255023417829,1466.5682097142892,1519.827720201336
Lopez F.,1445.9993431719988,1474.8246474708787,1591.7664056948602,1504.196798779246
Thron A.,1479.2053796756222,1492.2777787824853,1500.0,1490.4943861527026
Chang M.,1424.2074384095292,1460.1547722486014,1471.8876272837915,1452.0832793139741
Yu X.Y.,1463.5934814138254,1500.0,1500.0,1487.8644938046084
Dodig M.,1500.0,1490.3896720389075,1500.0,1496.7965573463025
Bohli S. ,1484.0,1500.0,1500.0,1494.6666666666667
